"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"20,5";"21,2";"20,5";"98,0";"98,0";"90,0";"20,2";"20,2";"19,5";"915,5";"915,5";"914,9";"1,7";"132,0";"7,7";"";"0,0"
"01/01/2025";"0100";"19,9";"20,6";"19,9";"100,0";"100,0";"94,0";"19,9";"20,2";"19,4";"915,8";"915,9";"915,3";"2,0";"133,0";"4,5";"";"0,0"
"01/01/2025";"0200";"19,4";"19,9";"19,4";"100,0";"100,0";"100,0";"19,4";"19,9";"19,4";"916,3";"916,3";"915,8";"0,8";"132,0";"4,7";"";"0,0"
"01/01/2025";"0300";"19,2";"19,5";"19,1";"100,0";"100,0";"100,0";"19,2";"19,5";"19,1";"915,5";"916,3";"915,5";"1,8";"158,0";"3,9";"";"0,0"
"01/01/2025";"0400";"18,7";"19,2";"18,7";"100,0";"100,0";"100,0";"18,7";"19,2";"18,7";"915,0";"915,5";"915,0";"1,3";"149,0";"3,3";"";"0,0"
"01/01/2025";"0500";"18,6";"18,9";"18,6";"100,0";"100,0";"100,0";"18,6";"18,9";"18,6";"914,8";"915,1";"914,7";"0,8";"158,0";"2,8";"";"0,0"
"01/01/2025";"0600";"19,3";"19,4";"18,5";"87,0";"100,0";"86,0";"17,0";"18,7";"16,9";"914,6";"914,8";"914,6";"1,2";"30,0";"4,6";"";"0,0"
"01/01/2025";"0700";"19,0";"19,3";"18,9";"92,0";"92,0";"87,0";"17,7";"17,7";"16,9";"914,7";"914,7";"914,4";"0,3";"24,0";"3,6";"";"0,0"
"01/01/2025";"0800";"18,7";"19,1";"18,7";"95,0";"95,0";"91,0";"17,9";"18,0";"17,5";"915,0";"915,0";"914,7";"0,0";"204,0";"2,5";"";"0,0"
"01/01/2025";"0900";"19,5";"19,5";"18,6";"86,0";"95,0";"86,0";"17,1";"17,9";"17,1";"915,6";"915,6";"915,0";"2,0";"54,0";"3,8";"50,90";"0,0"
"01/01/2025";"1000";"22,9";"22,9";"19,5";"74,0";"86,0";"74,0";"18,1";"18,1";"16,8";"916,1";"916,1";"915,6";"0,2";"116,0";"3,9";"618,40";"0,0"
"01/01/2025";"1100";"23,2";"23,2";"22,2";"66,0";"74,0";"65,0";"16,4";"17,7";"16,1";"916,5";"916,5";"916,1";"1,8";"28,0";"3,5";"1466,10";"0,0"
"01/01/2025";"1200";"24,3";"24,4";"22,8";"63,0";"66,0";"62,0";"16,9";"17,2";"15,6";"916,9";"916,9";"916,4";"1,3";"2,0";"3,8";"2318,50";"0,0"
"01/01/2025";"1300";"26,4";"27,0";"24,4";"52,0";"63,0";"51,0";"15,8";"17,5";"15,7";"916,9";"917,1";"916,8";"2,1";"336,0";"5,8";"3020,90";"0,0"
"01/01/2025";"1400";"27,1";"28,0";"26,3";"50,0";"53,0";"46,0";"15,9";"16,8";"14,8";"916,8";"916,9";"916,8";"1,6";"349,0";"6,5";"2936,70";"0,0"
"01/01/2025";"1500";"29,0";"29,2";"26,4";"45,0";"52,0";"45,0";"15,9";"17,2";"14,9";"916,3";"916,8";"916,3";"2,8";"313,0";"6,9";"3490,90";"0,0"
"01/01/2025";"1600";"29,4";"29,4";"27,5";"46,0";"51,0";"45,0";"16,5";"17,4";"15,4";"915,7";"916,3";"915,7";"3,1";"299,0";"6,8";"3170,20";"0,0"
"01/01/2025";"1700";"29,6";"30,4";"28,7";"45,0";"48,0";"42,0";"16,6";"17,5";"15,2";"914,5";"915,7";"914,5";"3,9";"292,0";"9,3";"3781,60";"0,0"
"01/01/2025";"1800";"30,3";"30,6";"29,0";"43,0";"46,0";"40,0";"16,2";"17,0";"14,4";"913,8";"914,5";"913,8";"2,3";"286,0";"9,3";"3306,40";"0,0"
