"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"26/05/2025";"0000";"25,7";"25,9";"25,6";"81,0";"82,0";"79,0";"22,3";"22,3";"21,9";"991,0";"991,0";"990,6";"0,8";"57,0";"1,8";"";"0,0"
"26/05/2025";"0100";"25,2";"25,7";"24,9";"84,0";"85,0";"81,0";"22,3";"22,4";"22,2";"991,5";"991,6";"991,0";"1,0";"205,0";"2,1";"";"0,0"
"26/05/2025";"0200";"25,0";"25,3";"25,0";"84,0";"84,0";"83,0";"22,2";"22,4";"22,2";"991,9";"991,9";"991,5";"0,6";"274,0";"1,8";"";"0,0"
"26/05/2025";"0300";"24,9";"25,0";"24,7";"86,0";"86,0";"85,0";"22,3";"22,5";"22,2";"991,7";"992,1";"991,6";"1,1";"68,0";"2,2";"";"0,0"
"26/05/2025";"0400";"24,5";"25,0";"24,3";"88,0";"88,0";"85,0";"22,4";"22,4";"22,1";"991,8";"991,9";"991,6";"0,7";"133,0";"2,7";"";"0,0"
"26/05/2025";"0500";"24,2";"24,5";"24,1";"90,0";"90,0";"88,0";"22,5";"22,5";"22,3";"991,4";"991,8";"991,4";"0,3";"292,0";"2,0";"";"0,0"
"26/05/2025";"0600";"24,4";"24,6";"24,2";"88,0";"90,0";"88,0";"22,3";"22,7";"22,3";"990,7";"991,4";"990,7";"0,9";"59,0";"2,0";"";"0,0"
"26/05/2025";"0700";"24,3";"24,5";"24,3";"89,0";"89,0";"88,0";"22,3";"22,4";"22,2";"990,3";"990,7";"990,3";"0,4";"321,0";"1,8";"";"0,0"
"26/05/2025";"0800";"23,6";"24,4";"23,6";"91,0";"91,0";"89,0";"22,1";"22,4";"22,0";"990,5";"990,5";"990,2";"1,0";"254,0";"2,3";"";"0,0"
"26/05/2025";"0900";"23,6";"23,7";"23,4";"91,0";"92,0";"91,0";"22,1";"22,2";"22,0";"990,9";"990,9";"990,5";"0,5";"115,0";"1,7";"";"0,0"
"26/05/2025";"1000";"23,4";"23,6";"23,4";"91,0";"92,0";"91,0";"21,9";"22,1";"21,9";"991,1";"991,2";"990,8";"0,5";"86,0";"1,7";"";"0,0"
"26/05/2025";"1100";"24,7";"24,7";"23,4";"87,0";"92,0";"86,0";"22,3";"23,0";"21,8";"991,6";"991,6";"991,1";"0,2";"71,0";"1,3";"127,20";"0,0"
"26/05/2025";"1200";"26,7";"27,7";"24,7";"76,0";"87,0";"73,0";"22,1";"22,8";"21,6";"992,3";"992,3";"991,6";"0,8";"344,0";"1,6";"880,20";"0,0"
"26/05/2025";"1300";"28,7";"28,9";"26,6";"68,0";"77,0";"68,0";"22,2";"23,0";"21,9";"992,4";"992,5";"992,2";"0,9";"354,0";"2,3";"1612,30";"0,0"
"26/05/2025";"1400";"30,9";"30,9";"28,7";"62,0";"68,0";"62,0";"22,7";"23,1";"21,6";"992,1";"992,5";"992,1";"0,9";"92,0";"2,6";"2118,60";"0,0"
"26/05/2025";"1500";"31,9";"31,9";"30,8";"55,0";"64,0";"54,0";"21,8";"23,5";"21,3";"991,7";"992,1";"991,7";"1,8";"51,0";"5,6";"2257,40";"0,0"
"26/05/2025";"1600";"32,4";"33,0";"31,8";"51,0";"58,0";"50,0";"21,0";"22,8";"20,9";"990,3";"991,7";"990,3";"2,5";"53,0";"5,8";"2736,40";"0,0"
