"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"30/06/2025";"0000";"23,0";"24,3";"23,0";"80,0";"80,0";"76,0";"19,3";"19,8";"19,1";"993,8";"993,8";"993,0";"1,0";"279,0";"1,6";"";"0,0"
"30/06/2025";"0100";"22,1";"23,2";"22,0";"84,0";"84,0";"79,0";"19,4";"19,5";"19,1";"994,2";"994,2";"993,8";"0,9";"294,0";"2,4";"";"0,0"
"30/06/2025";"0200";"21,8";"22,3";"21,8";"83,0";"84,0";"82,0";"18,9";"19,4";"18,7";"994,5";"994,5";"994,2";"1,2";"258,0";"1,8";"";"0,0"
"30/06/2025";"0300";"21,6";"21,9";"21,4";"85,0";"87,0";"83,0";"19,0";"19,3";"18,8";"994,5";"994,6";"994,4";"0,8";"308,0";"1,8";"";"0,0"
"30/06/2025";"0400";"20,9";"21,6";"20,9";"87,0";"88,0";"85,0";"18,7";"19,0";"18,7";"994,2";"994,5";"994,2";"0,9";"279,0";"1,9";"";"0,0"
"30/06/2025";"0500";"20,5";"20,9";"20,3";"89,0";"89,0";"87,0";"18,5";"18,8";"18,4";"993,9";"994,2";"993,9";"1,2";"285,0";"1,8";"";"0,0"
"30/06/2025";"0600";"20,3";"21,0";"20,3";"87,0";"89,0";"85,0";"18,0";"18,5";"18,0";"993,7";"993,9";"993,6";"1,2";"281,0";"2,0";"";"0,0"
"30/06/2025";"0700";"19,7";"20,5";"19,7";"90,0";"90,0";"86,0";"17,9";"18,2";"17,8";"993,9";"993,9";"993,6";"0,8";"285,0";"1,9";"";"0,0"
"30/06/2025";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/06/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/06/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/06/2025";"1100";"28,1";"28,1";"24,9";"56,0";"73,0";"55,0";"18,5";"20,1";"18,2";"995,6";"995,6";"995,2";"2,2";"216,0";"";"815,70";"0,0"
"30/06/2025";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
