"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2026";"0000";"25,2";"25,8";"25,1";"89,0";"90,0";"86,0";"23,3";"23,4";"23,2";"965,0";"965,0";"964,0";"0,0";"23,0";"0,0";"";"0,0"
"01/04/2026";"0100";"25,2";"25,4";"25,0";"88,0";"89,0";"88,0";"23,1";"23,4";"23,0";"966,0";"966,0";"965,0";"0,3";"38,0";"3,5";"0,30";"0,0"
"01/04/2026";"0200";"25,4";"25,9";"25,2";"82,0";"88,0";"81,0";"22,2";"23,1";"22,1";"966,1";"966,1";"966,0";"0,2";"22,0";"3,5";"";"0,0"
"01/04/2026";"0300";"25,0";"25,4";"24,6";"85,0";"87,0";"82,0";"22,3";"22,3";"22,1";"965,8";"966,1";"965,8";"0,2";"56,0";"2,3";"";"0,0"
"01/04/2026";"0400";"24,7";"25,1";"24,7";"86,0";"87,0";"85,0";"22,3";"22,4";"22,2";"965,6";"965,8";"965,6";"0,1";"65,0";"3,0";"";"0,0"
"01/04/2026";"0500";"24,6";"24,8";"24,6";"87,0";"87,0";"86,0";"22,4";"22,4";"22,2";"965,3";"965,6";"965,3";"0,0";"291,0";"1,5";"";"0,0"
"01/04/2026";"0600";"24,6";"24,7";"24,5";"85,0";"88,0";"85,0";"21,9";"22,4";"21,9";"965,0";"965,3";"965,0";"0,1";"72,0";"1,2";"";"0,0"
"01/04/2026";"0700";"24,6";"24,6";"24,5";"86,0";"86,0";"84,0";"22,0";"22,0";"21,7";"965,0";"965,1";"965,0";"0,1";"64,0";"1,8";"";"0,0"
"01/04/2026";"0800";"23,5";"24,6";"23,5";"92,0";"92,0";"85,0";"22,1";"22,1";"21,7";"965,2";"965,3";"965,0";"0,5";"111,0";"2,3";"";"2,2"
"01/04/2026";"0900";"23,2";"23,5";"23,2";"94,0";"94,0";"92,0";"22,2";"22,3";"22,1";"965,4";"965,4";"965,1";"0,0";"336,0";"2,2";"1,80";"0,0"
